joueurId(Number);tour(Number);texteCoordCase(String);natureFond(String);bathymetrie(String);estEnregistre(Boolean);estMemorise(Boolean);type(Symbol)
2;1;41°25',10°8';sable;cote;false;false;Plaisancier
2;1;41°22',10°5';sable;cote;false;false;Plaisancier
2;1;41°30',10°5';sable;cote;false;false;Plaisancier
2;1;41°22',10°8';sable;cote;false;false;Plaisancier
2;1;41°25',10°5';sable;cote;false;false;Plaisancier
2;1;41°19',10°11';sable;cote;false;false;Plaisancier
2;1;41°16',10°8';sable;cote;false;false;Plaisancier
2;1;41°16',10°8';sable;cote;false;false;FouDeBassan
2;1;41°16',10°11';sable;cote;false;false;Plaisancier
2;1;41°13',10°14';vase;cote;false;false;Plaisancier
2;1;41°10',10°11';sable;cote;false;false;Plaisancier
2;1;41°10',10°14';vase;cote;false;false;Plaisancier
2;1;41°8',10°14';sable;cote;false;false;Plaisancier
2;1;41°5',10°11';sable;cote;false;false;Plaisancier
2;1;41°5',10°14';sable;cote;false;false;Plaisancier
2;1;41°2',10°20';vase;cote;false;false;Plaisancier
2;1;40°56',10°14';sable;cote;false;false;Plaisancier
2;1;40°50',10°14';sable;cote;false;false;Plaisancier
1;1;41°25',10°8';sable;cote;true;false;Plaisancier
1;1;41°33',10°8';sable;cote;true;false;Plaisancier
1;1;41°30',10°5';sable;cote;true;false;Plaisancier
1;1;41°22',10°8';sable;cote;true;false;Plaisancier
1;1;41°25',10°5';sable;cote;true;false;Plaisancier
1;1;41°33',10°11';vase;cote;true;false;Plaisancier
1;1;41°33',10°11';vase;cote;true;false;NavireCommerce
1;1;41°22',10°20';vase;plateau;true;false;NavireCommerce
1;1;41°36',10°44';vase;plateau;true;false;NavireCommerce
1;1;41°39',10°44';vase;plateau;true;false;Dauphin
2;1;41°22',10°20';vase;plateau;false;false;NavireCommerce
2;1;41°33',10°11';vase;cote;false;false;Plaisancier
2;1;41°33',10°11';vase;cote;false;false;NavireCommerce
2;1;41°36',10°11';rocher;cote;false;false;Plaisancier
2;1;41°33',10°8';sable;cote;false;false;Plaisancier
2;1;41°39',10°11';rocher;cote;false;false;Plaisancier
1;1;41°33',11°29';rocher;plateau;true;false;FouDeBassan
2;1;41°33',10°5';sable;cote;false;false;Plaisancier
1;1;41°25',11°8';vase;plateau;true;false;Dauphin
1;1;41°25',11°5';vase;plateau;true;false;FouDeBassan
1;1;41°19',10°47';sable;plateau;true;false;NavireCommerce
1;1;41°19',10°11';sable;cote;true;false;Plaisancier
1;1;41°13',10°14';vase;cote;true;false;Plaisancier
1;1;41°16',10°11';sable;cote;true;false;Plaisancier
1;1;41°22',10°5';sable;cote;true;false;Plaisancier
1;2;41°28',10°11';vase;cote;true;false;Plaisancier
1;2;41°25',10°8';sable;cote;true;false;Plaisancier
1;2;41°30',10°5';sable;cote;true;false;Plaisancier
1;2;41°22',10°8';sable;cote;true;false;Plaisancier
1;2;41°25',10°5';sable;cote;true;false;Plaisancier
1;2;41°28',10°20';vase;plateau;true;false;NavireCommerce
1;2;41°22',10°17';vase;cote;true;false;FouDeBassan
1;2;41°25',10°23';vase;plateau;true;false;NavireCommerce
1;2;41°33',10°26';vase;plateau;true;false;FouDeBassan
1;2;41°25',10°32';vase;plateau;true;false;NavireCommerce
2;2;41°28',10°11';vase;cote;false;false;Plaisancier
2;2;41°25',10°8';sable;cote;false;false;Plaisancier
2;2;41°30',10°5';sable;cote;false;false;Plaisancier
2;2;41°22',10°8';sable;cote;false;false;Plaisancier
2;2;41°25',10°5';sable;cote;false;false;Plaisancier
2;2;41°39',10°8';rocher;cote;false;false;Plaisancier
2;2;41°42',10°8';rocher;cote;false;false;Plaisancier
2;2;41°36',10°14';rocher;cote;false;false;FouDeBassan
1;2;41°33',10°41';vase;plateau;true;false;NavireCommerce
1;2;41°22',10°41';vase;plateau;true;false;FouDeBassan
2;2;41°42',10°11';rocher;cote;false;false;Plaisancier
1;2;41°25',10°47';sable;plateau;true;false;FouDeBassan
2;2;41°45',10°11';rocher;cote;false;false;Plaisancier
2;2;41°45',10°11';rocher;cote;false;false;Dauphin
1;2;41°28',10°53';sable;plateau;true;false;Dauphin
1;2;41°25',10°50';sable;plateau;true;false;FouDeBassan
1;2;41°33',10°50';sable;plateau;true;false;FouDeBassan
1;2;41°33',10°53';sable;plateau;true;false;NavireCommerce
1;2;41°25',11°14';vase;plateau;true;false;FouDeBassan
1;2;41°30',11°17';vase;plateau;true;false;Dauphin
1;2;41°22',11°17';vase;plateau;true;false;Dauphin
1;2;41°19',11°29';vase;plateau;true;false;FouDeBassan
1;2;41°16',11°38';vase;plateau;true;false;FouDeBassan
1;2;41°28',11°47';sable;plateau;true;false;Plaisancier
1;2;41°28',11°47';sable;plateau;true;false;Dauphin
1;2;41°28',11°47';sable;plateau;true;false;FouDeBassan
1;2;41°13',11°50';vase;plateau;true;false;FouDeBassan
1;2;41°8',12°2';vase;plateau;true;false;NavireEspagnol
1;2;41°8',12°14';vase;plateau;true;false;FouDeBassan
1;2;40°56',12°17';sable;plateau;true;false;NavireEspagnol
1;2;40°56',12°5';vase;plateau;true;false;NavireEspagnol
1;2;40°50',12°8';vase;plateau;true;false;FouDeBassan
1;2;41°2',11°59';vase;plateau;true;false;FouDeBassan
1;2;40°56',11°53';vase;plateau;true;false;NavireEspagnol
1;2;40°56',11°50';vase;plateau;true;false;Dauphin
1;2;40°56',11°47';vase;plateau;true;false;NavireEspagnol
1;2;40°59',11°41';vase;plateau;true;false;Dauphin
1;2;41°2',11°41';vase;plateau;true;false;FouDeBassan
1;2;40°56',11°35';vase;plateau;true;false;Dauphin
1;2;40°59',11°32';vase;plateau;true;false;FouDeBassan
1;2;41°5',11°35';vase;plateau;true;false;FouDeBassan
1;2;40°56',11°26';vase;plateau;true;false;Dauphin
1;2;41°2',11°20';vase;plateau;true;false;FouDeBassan
1;2;41°5',11°20';vase;plateau;true;false;FouDeBassan
1;2;40°56',11°23';vase;plateau;true;false;Dauphin
1;2;41°8',11°20';rocher;plateau;true;false;FouDeBassan
1;2;41°5',11°11';rocher;plateau;true;false;FouDeBassan
1;2;41°10',11°11';rocher;plateau;true;false;FouDeBassan
1;2;41°10',11°8';rocher;plateau;true;false;Dauphin
1;2;41°13',11°5';rocher;plateau;true;false;FouDeBassan
1;2;41°19',10°56';vase;plateau;true;false;Dauphin
1;2;41°19',10°38';vase;plateau;true;false;FouDeBassan
1;2;41°10',10°47';vase;plateau;true;false;Plaisancier
1;2;41°16',10°35';vase;plateau;true;false;Dauphin
1;2;41°5',10°38';vase;plateau;true;false;Dauphin
1;2;41°2',10°32';vase;plateau;true;false;FouDeBassan
1;2;40°59',10°32';vase;plateau;true;false;FouDeBassan
1;2;41°2',10°29';vase;plateau;true;false;Dauphin
1;2;40°59',10°26';vase;plateau;true;false;FouDeBassan
1;2;40°59',10°23';vase;plateau;true;false;FouDeBassan
1;2;40°53',10°26';vase;plateau;true;false;FouDeBassan
1;2;41°13',10°29';vase;plateau;true;false;Dauphin
1;2;41°13',10°20';vase;cote;true;false;FouDeBassan
1;2;41°16',10°20';vase;cote;true;false;FouDeBassan
1;2;41°10',10°14';vase;cote;true;false;Plaisancier
1;2;41°13',10°14';vase;cote;true;false;Plaisancier
1;2;41°13',10°14';vase;cote;true;false;Dauphin
1;2;41°13',10°14';vase;cote;true;false;FouDeBassan
1;2;41°10',10°11';sable;cote;true;false;Plaisancier
1;2;41°19',10°8';sable;cote;true;false;Plaisancier
1;3;41°28',10°5';sable;cote;true;false;Plaisancier
1;3;41°25',10°5';sable;cote;true;false;Plaisancier
2;3;41°28',10°5';sable;cote;false;false;Plaisancier
2;3;41°25',10°5';sable;cote;false;false;Plaisancier
1;3;41°25',10°14';vase;cote;true;false;NavireCommerce
1;3;41°22',10°11';vase;cote;true;false;Plaisancier
2;3;41°36',10°8';rocher;cote;false;false;NavireCommerce
1;3;41°19',10°11';sable;cote;true;false;Plaisancier
2;3;41°36',10°11';rocher;cote;false;false;Plaisancier
2;3;41°33',10°14';vase;cote;false;false;NavireCommerce
1;3;41°16',10°11';sable;cote;true;false;Plaisancier
1;3;41°16',10°11';sable;cote;true;false;NavireCommerce
1;3;41°16',10°11';sable;cote;true;false;FouDeBassan
