joueurId(Number);tour(Number);texteCoordCase(String);natureFond(String);bathymetrie(String);estEnregistre(Boolean);estMemorise(Boolean);type(Symbol)
1;1;41°30',10°8';sable;cote;false;false;Plaisancier
1;1;41°33',10°8';sable;cote;false;false;Plaisancier
1;1;41°25',10°5';sable;cote;false;false;Plaisancier
1;1;41°25',10°5';sable;cote;false;false;FouDeBassan
1;1;41°36',10°8';rocher;cote;false;false;Plaisancier
1;1;41°28',10°11';vase;cote;false;false;Plaisancier
1;1;41°25',10°8';sable;cote;false;false;Plaisancier
1;1;41°36',10°11';rocher;cote;false;false;Plaisancier
1;1;41°39',10°11';rocher;cote;false;false;Plaisancier
1;1;41°42',10°11';rocher;cote;false;false;Plaisancier
1;1;41°42',10°11';rocher;cote;false;false;FouDeBassan
1;1;41°39',10°8';rocher;cote;false;false;FouDeBassan
1;1;41°42',10°8';rocher;cote;false;false;Plaisancier
1;1;41°39',10°29';vase;plateau;false;false;Dauphin
1;1;41°39',10°29';vase;plateau;false;false;FouDeBassan
1;1;41°30',10°23';vase;plateau;false;false;FouDeBassan
1;1;41°33',10°20';vase;plateau;false;false;NavireCommerce
1;1;41°30',10°26';vase;plateau;false;false;FouDeBassan
1;1;41°19',10°26';vase;plateau;false;false;FouDeBassan
1;1;41°19',10°17';vase;cote;false;false;Plaisancier
1;1;41°16',10°11';sable;cote;false;false;Plaisancier
1;1;41°16',10°11';sable;cote;false;false;NavireCommerce
1;1;41°16',10°11';sable;cote;false;false;Dauphin
1;1;41°16',10°8';sable;cote;false;false;Plaisancier
1;2;41°25',10°8';sable;cote;false;false;Plaisancier
1;2;41°28',10°5';sable;cote;false;false;Plaisancier
1;2;41°33',10°8';sable;cote;false;false;Plaisancier
1;2;41°28',10°8';sable;cote;false;false;Plaisancier
1;2;41°33',10°11';vase;cote;false;false;FouDeBassan
1;2;41°30',10°14';vase;cote;false;false;FouDeBassan
1;2;41°33',10°14';vase;cote;false;false;Plaisancier
1;2;41°36',10°17';rocher;cote;false;false;Plaisancier
1;2;41°33',10°20';vase;plateau;false;false;NavireCommerce
1;2;41°25',10°20';vase;plateau;false;false;Dauphin
1;2;41°36',10°23';vase;plateau;false;false;FouDeBassan
1;2;41°22',10°20';vase;plateau;false;false;Dauphin
1;2;41°19',10°35';vase;plateau;false;false;Dauphin
1;2;41°16',10°11';sable;cote;false;false;Plaisancier
1;2;41°16',10°8';sable;cote;false;false;Plaisancier
1;2;41°16',10°8';sable;cote;false;false;NavireCommerce
1;2;41°16',10°8';sable;cote;false;false;Dauphin
1;2;41°19',10°8';sable;cote;false;false;Plaisancier
1;2;41°10',10°11';sable;cote;false;false;Plaisancier
1;2;41°8',10°11';sable;cote;false;false;Plaisancier
1;2;41°8',10°14';sable;cote;false;false;Plaisancier
1;3;41°30',10°8';sable;cote;false;false;Plaisancier
1;3;41°30',10°11';vase;cote;false;false;FouDeBassan
1;3;41°28',10°8';sable;cote;false;false;Plaisancier
1;3;41°30',10°5';sable;cote;false;false;Plaisancier
1;3;41°25',10°8';sable;cote;false;false;Plaisancier
1;3;41°16',10°11';sable;cote;false;false;Plaisancier
1;3;41°19',10°8';sable;cote;false;false;Plaisancier
1;3;41°22',10°5';sable;cote;false;false;Plaisancier
1;3;41°16',10°8';sable;cote;false;false;Plaisancier
1;4;41°28',10°8';sable;cote;false;false;Plaisancier
1;4;41°25',10°5';sable;cote;false;false;Plaisancier
1;4;41°30',10°5';sable;cote;false;false;Plaisancier
1;4;41°36',10°8';rocher;cote;false;false;Plaisancier
1;4;41°33',10°11';vase;cote;false;false;NavireCommerce
1;4;41°39',10°8';rocher;cote;false;false;Plaisancier
1;4;41°22',10°8';sable;cote;false;false;Plaisancier
1;5;41°30',10°8';sable;cote;false;false;Plaisancier
1;5;41°33',10°8';sable;cote;false;false;Plaisancier
1;5;41°30',10°5';sable;cote;false;false;Plaisancier
1;5;41°22',10°8';sable;cote;false;false;Plaisancier
1;5;41°22',10°8';sable;cote;false;false;NavireCommerce
1;5;41°25',10°5';sable;cote;false;false;Plaisancier
1;5;41°28',10°8';sable;cote;false;false;Plaisancier
1;5;41°36',10°8';rocher;cote;false;false;Plaisancier
1;5;41°33',10°5';sable;cote;false;false;Plaisancier
1;5;41°30',10°14';vase;cote;false;false;Plaisancier
1;5;41°22',10°11';vase;cote;false;false;Plaisancier
1;5;41°22',10°5';sable;cote;false;false;Dauphin
1;6;41°33',10°5';sable;cote;false;false;Plaisancier
1;6;41°30',10°8';sable;cote;false;false;Plaisancier
1;6;41°28',10°5';sable;cote;false;false;Plaisancier
1;6;41°33',10°8';sable;cote;false;false;Plaisancier
1;6;41°33',10°8';sable;cote;false;false;FouDeBassan
1;6;41°25',10°5';sable;cote;false;false;Plaisancier
1;6;41°25',10°5';sable;cote;false;false;FouDeBassan
1;6;41°30',10°5';sable;cote;false;false;Plaisancier
1;6;41°22',10°5';sable;cote;false;false;Plaisancier
1;6;41°22',10°11';vase;cote;false;false;Dauphin
1;6;41°19',10°8';sable;cote;false;false;Plaisancier
1;6;41°22',10°14';vase;cote;false;false;FouDeBassan
1;6;41°19',10°11';sable;cote;false;false;Plaisancier
1;6;41°16',10°8';sable;cote;false;false;Plaisancier
1;6;41°16',10°11';sable;cote;false;false;Plaisancier
1;6;41°22',10°20';vase;plateau;false;false;NavireCommerce
1;6;41°16',10°17';vase;cote;false;false;FouDeBassan
1;7;41°33',10°5';sable;cote;false;false;Plaisancier
1;7;41°30',10°8';sable;cote;false;false;Plaisancier
1;7;41°33',10°8';sable;cote;false;false;Plaisancier
1;7;41°25',10°5';sable;cote;false;false;Plaisancier
1;7;41°39',10°8';rocher;cote;false;false;Plaisancier
1;7;41°25',10°8';sable;cote;false;false;Plaisancier
1;7;41°25',10°8';sable;cote;false;false;FouDeBassan
1;7;41°22',10°8';sable;cote;false;false;Plaisancier
1;7;41°22',10°8';sable;cote;false;false;Dauphin
1;7;41°19',10°8';sable;cote;false;false;Plaisancier
1;7;41°22',10°5';sable;cote;false;false;Plaisancier
1;8;41°28',10°11';vase;cote;false;false;FouDeBassan
1;8;41°25',10°8';sable;cote;false;false;Plaisancier
1;8;41°28',10°5';sable;cote;false;false;Plaisancier
1;8;41°33',10°8';sable;cote;false;false;Plaisancier
1;8;41°25',10°11';vase;cote;false;false;Dauphin
1;8;41°22',10°8';sable;cote;false;false;Plaisancier
1;8;41°25',10°5';sable;cote;false;false;Plaisancier
1;8;41°25',10°5';sable;cote;false;false;NavireCommerce
1;8;41°28',10°8';sable;cote;false;false;Plaisancier
1;8;41°28',10°17';vase;cote;false;false;Dauphin
1;8;41°25',10°14';vase;cote;false;false;Dauphin
1;8;41°36',10°11';rocher;cote;false;false;Plaisancier
1;8;41°33',10°14';vase;cote;false;false;NavireCommerce
