joueurId(Number);tour(Number);texteCoordCase(String);natureFond(String);bathymetrie(String);estEnregistre(Boolean);estMemorise(Boolean);type(Symbol)
3;1;41°22',10°5';sable;cote;true;false;Plaisancier
3;1;41°30',10°5';sable;cote;true;false;Plaisancier
3;1;41°28',10°8';sable;cote;true;false;Plaisancier
3;1;41°25',10°5';sable;cote;true;false;Plaisancier
2;1;41°28',10°8';sable;cote;true;false;Plaisancier
2;1;41°25',10°5';sable;cote;true;false;Plaisancier
3;1;41°28',10°17';vase;cote;true;false;FouDeBassan
2;1;41°30',10°5';sable;cote;true;false;Plaisancier
2;1;41°36',10°8';rocher;cote;true;false;Plaisancier
2;1;41°36',10°11';rocher;cote;true;false;Plaisancier
1;1;41°22',10°5';sable;cote;false;false;Plaisancier
1;1;41°30',10°5';sable;cote;false;false;Plaisancier
1;1;41°28',10°8';sable;cote;false;false;Plaisancier
2;1;41°42',10°8';rocher;cote;true;false;Plaisancier
2;1;41°39',10°11';rocher;cote;true;false;Plaisancier
1;1;41°25',10°5';sable;cote;false;false;Plaisancier
3;1;41°19',10°26';vase;plateau;true;false;FouDeBassan
2;1;41°48',10°8';rocher;cote;true;false;Plaisancier
1;1;41°28',10°17';vase;cote;false;false;FouDeBassan
2;1;41°51',10°8';rocher;cote;true;false;Plaisancier
2;1;41°51',10°11';rocher;cote;true;false;Plaisancier
1;1;41°16',10°20';vase;cote;false;false;Plaisancier
1;1;41°13',10°17';vase;cote;false;false;Plaisancier
1;1;41°10',10°14';vase;cote;false;false;Plaisancier
1;1;41°13',10°11';sable;cote;false;false;Plaisancier
1;1;41°13',10°11';sable;cote;false;false;Dauphin
3;1;41°16',10°38';vase;plateau;true;false;FouDeBassan
1;1;41°10',10°11';sable;cote;false;false;Plaisancier
3;1;41°5',10°56';rocher;plateau;true;false;Dauphin
1;1;41°5',10°17';vase;cote;false;false;FouDeBassan
2;1;41°54',10°8';rocher;cote;true;false;Plaisancier
1;1;41°5',10°11';sable;cote;false;false;Plaisancier
2;1;42°3',10°17';rocher;cote;true;false;FouDeBassan
2;1;42°0',10°8';rocher;cote;true;false;Plaisancier
2;1;42°3',10°8';rocher;cote;true;false;Plaisancier
2;1;41°36',10°17';rocher;cote;true;false;Plaisancier
3;1;41°16',10°20';vase;cote;true;false;Plaisancier
3;1;41°13',10°17';vase;cote;true;false;Plaisancier
3;2;41°33',10°5';sable;cote;true;false;Plaisancier
3;2;41°30',10°8';sable;cote;true;false;Plaisancier
3;2;41°28',10°5';sable;cote;true;false;Plaisancier
3;2;41°25',10°5';sable;cote;true;false;Plaisancier
3;2;41°30',10°14';vase;cote;true;false;Plaisancier
3;2;41°28',10°11';vase;cote;true;false;FouDeBassan
2;2;41°28',10°5';sable;cote;true;true;Plaisancier
3;2;41°39',10°11';rocher;cote;true;false;Plaisancier
2;2;41°25',10°5';sable;cote;true;true;Plaisancier
2;2;41°22',10°11';vase;cote;true;true;FouDeBassan
2;2;41°19',10°8';sable;cote;true;true;Plaisancier
3;2;41°42',10°11';rocher;cote;true;false;Plaisancier
2;2;41°19',10°11';sable;cote;true;true;Plaisancier
2;2;41°16',10°8';sable;cote;true;true;Plaisancier
3;2;41°42',10°17';rocher;cote;true;false;Plaisancier
3;2;41°36',10°23';vase;plateau;true;false;FouDeBassan
2;2;41°13',10°14';vase;cote;true;true;Plaisancier
2;2;41°10',10°17';vase;cote;true;true;FouDeBassan
2;2;41°5',10°11';sable;cote;true;true;Plaisancier
2;2;41°8',10°17';vase;cote;true;true;FouDeBassan
2;2;41°5',10°14';sable;cote;true;true;Plaisancier
2;2;41°2',10°14';sable;cote;true;true;FouDeBassan
2;2;40°59',10°11';sable;cote;true;true;Plaisancier
2;2;40°59',10°14';sable;cote;true;true;Plaisancier
2;2;40°56',10°11';sable;cote;true;true;Plaisancier
2;2;40°59',10°17';sable;cote;true;true;FouDeBassan
2;2;40°56',10°14';sable;cote;true;true;Plaisancier
2;2;40°53',10°11';sable;cote;true;true;Dauphin
3;2;41°57',10°26';rocher;plateau;true;false;Dauphin
1;2;41°33',10°5';sable;cote;false;false;Plaisancier
1;2;41°30',10°8';sable;cote;false;false;Plaisancier
1;2;41°28',10°5';sable;cote;false;false;Plaisancier
1;2;41°25',10°5';sable;cote;false;false;Plaisancier
1;2;41°30',10°14';vase;cote;false;false;Plaisancier
1;2;41°28',10°11';vase;cote;false;false;FouDeBassan
3;2;41°48',10°44';vase;plateau;true;false;FouDeBassan
2;2;40°53',10°14';sable;cote;true;true;Plaisancier
3;2;41°54',10°41';vase;plateau;true;false;FouDeBassan
3;2;41°51',10°47';vase;plateau;true;false;Dauphin
2;2;41°8',10°20';vase;cote;true;true;FouDeBassan
1;2;41°25',10°14';vase;cote;false;false;FouDeBassan
2;2;41°19',10°17';vase;cote;true;true;FouDeBassan
2;2;41°16',10°20';vase;cote;true;true;Dauphin
2;2;41°16',10°23';vase;plateau;true;true;FouDeBassan
2;2;41°19',10°23';vase;plateau;true;true;FouDeBassan
2;2;41°25',10°14';vase;cote;true;true;FouDeBassan
